order1	order2	Habitname	ESIS Group	Old Symbol	Intermediate Revision	Revised Symbol	Simple
200	55	microphyllous evergreen shrub	Shrub/Subshrub			S2ME	Evergreen
200	56	needleleaf deciduous shrub	Shrub/Subshrub	Ns	SND2	S2ND	Deciduous
200	57	needleleaf evergreen shrub/subshrub	Shrub/Subshrub			S.NE	Evergreen
200	58	needleleaf evergreen subshrub	Shrub/Subshrub	Eu	SNE1	S1NE	Evergreen
200	59	needleleaf evergreen shrub	Shrub/Subshrub	Es	SNE2	S2NE	Evergreen
200	60	rosette shrub/subshrub	Shrub/Subshrub			S.P	Evergreen
200	61	rosette subshrub	Shrub/Subshrub	Ru	SP1	S1P	Evergreen
200	62	rosette shrub	Shrub/Subshrub	Rs	SP2	S2P	Evergreen
200	63	succulent shrub/subshrub	Shrub/Subshrub			S.U	Evergreen
200	64	succulent subshrub	Shrub/Subshrub	Cu	SU1	S1U	Evergreen
200	65	succulent shrub	Shrub/Subshrub	Cs	SU2	S2U	Evergreen
250	66	subshrub fern	Tree Fern	Ou	SF1	S1F	Evergreen
250	67	shrub fern	Tree Fern	Os	SF2	S2F	Evergreen
290	68	parasitic subshrub	Shrub/Subshrub	Pu	SBP1	S1Bi	Deciduous
290	69	parasitic shrub	Shrub/Subshrub	Ps	SBP2	S2Bi	Deciduous
290	70	microphyllous parasitic subshrub	Shrub/Subshrub			S1Mi	Deciduous
300	71	broadleaf vine	Vine/Liana			L.B	Evergreen
300	72	broadleaf deciduous vine	Vine/Liana	Dv	LBD	L.BD	Deciduous
300	73	broadleaf evergreen vine	Vine/Liana	Bv	LBE	L.BE	Evergreen
300	74	graminoid vine	Vine/Liana	Gv	LG	L.G	Evergreen
300	75	needleleaf evergreen vine	Vine/Liana	Ev	LNE	L.ME	Evergreen
300	76	succulent vine	Vine/Liana	Cv	LU	L.U	Evergreen
400	77	aquatic herb	Forb/Herb	Ah	HA	H.A	Forb
400	78	annual aquatic herb	Forb/Herb	Ah1	HA1	H1A	Forb
400	79	perennial aquatic herb	Forb/Herb	Ah2	HA2	H2A	Forb
400	80	annual forb	Forb/Herb	Fh1	HF1	H1F	Forb
400	81	perennial forb	Forb/Herb	Fh2	HF2	H2F	Forb
400	82	succulent forb	Forb/Herb			H.FS	Forb
400	83	annual succulent forb	Forb/Herb	Ch1	HFS1	H1FS	Forb
400	84	perennial succulent forb	Forb/Herb	Ch2	HFS2	H2FS	Forb
400	85	herbaceous vine	Forb/Herb			H.FV	Forb
400	86	annual herbaceous vine	Vine/Liana	Vh1	HFV1	H1FV	Forb
400	87	perennial herbaceous vine	Vine/Liana	Vh2	HFV2	H2FV	Forb
420	88	cool season graminoid	Grass/grass-like	Gh	HGC	H.GC	Graminoid
420	89	annual cool season graminoid	Grass/grass-like	Gh1	HGC1	H1GC	Graminoid
420	90	perennial cool season graminoid	Grass/grass-like	Gh2	HGC2	H2GC	Graminoid
420	91	warm season graminoid	Grass/grass-like		HGW	H.GW	Graminoid
420	92	annual warm season graminoid	Grass/grass-like	Wh1	HGW1	H1GW	Graminoid
420	93	perennial warm season graminoid	Grass/grass-like	Wh2	HGW2	H2GW	Graminoid
450	94	seedless forb	Fern/fern ally	Oh	HFE	H.FE	Forb
490	95	parasitic herb	Forb/Herb	Ph	HFP	H.Fi	Forb
490	96	annual parasitic forb	Forb/Herb	Ph1	HFP1	H1Fi	Forb
490	97	perennial parasitic herb	Forb/Herb	Ph2	HFP2	H2Fi	Forb
490	98	parasitic herb	Forb/Herb			H.i	Forb
900	99	freeliving epiphyte	Vine/Liana	Fe	EF	E.F	Evergreen
900	100	parasitic epiphyte	Vine/Liana	Pe	EP	E.i	Evergreen
1000	101	parasitic plant				i	Forb
