User Site ID	NASIS Group Name	obsYear	obsMonth	obsDAY	Current Taxon Name	Current Taxonomic Class	Std Latitude	Std Longitude
1967MI057001	12-GRR Points	1967	3	29	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.3916278	-84.6619306
1967MI057002	12-GRR Points	1967	12	18	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.3916278	-84.6619306
1989MI105005	12-GRR Points	1989	8	7	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.8690389	-86.3537583
1987MI105002	12-GRR Points	1987	7	6	Onekama	Fine, mixed, active, mesic Haplic Glossudalfs	43.8614556	-86.2612722
1989MI105006	12-GRR Points	1989	6	23	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	43.9804694	-86.2686556
1985MI015007	12-GRR Points	1985	5	3	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	42.7643611	-85.4877722
1986MI015012	12-GRR Points	1986	6	26	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	42.5452056	-85.1734
1989MI025057	12-GRR Points	1989	9	7	Onekama	Fine, mixed, active, mesic Oxyaquic Hapludalfs	42.3776667	-84.8270167
1989MI025032	12-GRR Points	1989	4	17	Onekama	Fine, mixed, active, mesic Glossic Hapludalfs	42.4205611	-85.0738694
S1976MI073002	12-GRR Points	1976	9	18	Tekenink	Coarse-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.5359194	-85.0267528
S1976MI073003	12-GRR Points	1976	11	11	Tekenink	Coarse-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.5607222	-84.9160889
S1976MI073006	12-GRR Points	1976	11	10	Londo	Fine-loamy, mixed, semiactive, mesic Aeric Glossaqualfs	43.5823139	-84.7499722
S1976MI073008	12-GRR Points	1976	9	2	Ithaca	Fine, mixed, semiactive, mesic Aquic Glossudalfs	43.6985472	-84.9071
S1976MI073001	12-GRR Points	1976	10	18	Tekenink	Coarse-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.4787111	-85.0844083
S1979MI073001	12-GRR Points	1979	11	19	Guelph	Fine-loamy, mixed, active, mesic Glossic Hapludalfs	43.5708389	-84.78675
S1979MI073002	12-GRR Points	1979	11	19	Capac	Fine-loamy, mixed, semiactive, mesic Glossaquic Hapludalfs	43.5718861	-84.7866472
S1979MI073004	12-GRR Points	1979	11	27	Capac	Fine-loamy, mixed, semiactive, mesic Glossaquic Hapludalfs	43.6703306	-84.9055917
1967MI049008	12-GRR Points	2016	2	5	Boots	Euic, mesic Fibric Haplohemists	43.1853056	-83.5821389
1968MI093004	12-GRR Points	2016	2	18	Carlisle	Euic, mesic Typic Haplosaprists	42.5815639	-84.0322417
1985MI123007	12-GRR Points	1985	8	8	Carlisle	Euic, mesic Typic Haplosaprists	43.4958806	-85.9412167
1985MI123007	12-GRR Points	1985	5	3	Carlisle	Euic, mesic Typic Haplosaprists	43.4958806	-85.9412167
1988MI123001	12-GRR Points	1988	6	9	Carlisle	Euic, mesic Typic Haplosaprists	43.481125	-85.8351889
2011MI117F301	12-GRR Points	2011	9	8	Carlisle	Euic, mesic Typic Haplosaprists	43.3024444	-85.2789722
1988MI127006	12-GRR Points	1988	8	19	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.5537833	-86.4477333
1990MI105002	12-GRR Points	1990	10	16	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.9272	-86.2199278
1989MI105007	12-GRR Points	1989	8	2	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.9979306	-86.3058639
1989MI105008	12-GRR Points	1989	7	12	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.8501167	-86.2786722
1987MI105003	12-GRR Points	1987	7	6	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	43.8502889	-86.2087861
1990MI105003	12-GRR Points	1990	7	10	Filer	Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs	44.05575	-86.16935
1990MI105004	12-GRR Points	1990	10	3	Marlette	Fine-loamy, mixed, semiactive, mesic Oxyaquic Glossudalfs	44.0792694	-86.2551972
1987MI123001	12-GRR Points	1987	6	16	Parkhill	Fine-loamy, mixed, semiactive, mesic Typic Epiaquolls	43.4524444	-85.9267639
1984MI015022	12-GRR Points	1984	10	8	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Aeric Endoaquepts	42.6790278	-85.1475278
1965MI037090	12-GRR Points	1965	9	13	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Epiaquepts	42.8080389	-84.6496278
1973MI037012	12-GRR Points	2016	3	28	Parkhill	Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Endoaquepts	43.0009111	-84.5261667
