"phase","Taxon","order","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top"
"inundated shrub swamp","Climacium",8,"CLIMA2","Nonvascular","Native",0,0.4,0,0.1
"marsh","Toxicodendron vernix",1,"TOVE","Tree","Native",0,5,1,5
"marsh","Salix bebbiana",1,"SABE2","Tree","Native",0,4,1,5
"marsh","Salix discolor",1,"SADI","Tree","Native",0,4,1,5
"marsh","Larix laricina",1,"LALA","Tree","Native",0,0.5,1,5
"marsh","Toxicodendron vernix",1,"TOVE","Tree","Native",0,0.2,0.1,0.5
"marsh","Platanus occidentalis",1,"PLOC","Tree","Native",0,0,1,5
"marsh","Cornus alba",3,"COAL80","Shrub/Subshrub","Native",0,2,0.5,2
"marsh","Rhamnus alnifolia",3,"RHAL","Shrub/Subshrub","Native",0,2,0,0.3
"marsh","Betula pumila",3,"BEPU4","Shrub/Subshrub","Native",0,1,0,0.3
"marsh","Chamaedaphne calyculata",3,"CHCA2","Shrub/Subshrub","Native",0,1,0,0.3
"marsh","Lindera benzoin",3,"LIBE3","Shrub/Subshrub","Native",0,0.4,0.5,2
"marsh","Rosa palustris",3,"ROPA","Shrub/Subshrub","Native",0,0.4,0.5,2
"marsh","Salix",3,"SALIX","Shrub/Subshrub","Unknown",0,0.1,0,0.3
"marsh","Echinocystis lobata",4,"ECLO","Vine/Liana","Native",0,0.1,0.1,0.5
"marsh","Typha angustifolia",5,"TYAN","Grass/grass-like (Graminoids)","Introduced",25,75,0.1,0.5
"marsh","Eleocharis",5,"ELOB5","Grass/grass-like (Graminoids)","Unknown",0,20,0.1,0.5
"marsh","Eleocharis",5,"ELEOC","Grass/grass-like (Graminoids)","Unknown",0,20,0.1,0.5
"marsh","Typha",5,"TYPHA","Grass/grass-like (Graminoids)","Unknown",0,10,0.1,0.5
"marsh","Typha latifolia",5,"TYLA","Grass/grass-like (Graminoids)","Native",0,2,0.1,0.5
"marsh","Phalaris arundinacea",5,"PHAR3","Grass/grass-like (Graminoids)","Native",0,1,0.1,0.5
"marsh","Schoenoplectus",5,"SCHOE6","Grass/grass-like (Graminoids)","Unknown",0,1,0.1,0.5
"marsh","Carex alata",5,"CAAL3","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Carex diandra",5,"CADI4","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Carex pseudocyperus",5,"CAPS","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Carex stricta",5,"CAST8","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Eleocharis elliptica",5,"ELEL4","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Juncus marginatus",5,"JUMA4","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Schoenoplectus tabernaemontani",5,"SCTA2","Grass/grass-like (Graminoids)","Native",0,0.4,0.1,0.5
"marsh","Carex viridula",5,"CAVI5","Grass/grass-like (Graminoids)","Native",0,0.1,0.1,0.5
"marsh","Dulichium arundinaceum",5,"DUAR3","Grass/grass-like (Graminoids)","Native",0,0.1,0.1,0.5
"marsh","Phragmites australis",5,"PHAU7","Grass/grass-like (Graminoids)","Native",0,0.1,0.1,0.5
"marsh","Schoenoplectus acutus",5,"SCAC3","Grass/grass-like (Graminoids)","Native",0,0.1,0.1,0.5
"marsh","Asclepias incarnata",6,"ASIN","Forb/Herb","Native",0.1,0.2,0.1,0.5
"marsh","Peltandra virginica",6,"PEVI","Forb/Herb","Native",0,0.4,0.1,0.5
"marsh","Xanthium strumarium",6,"XAST","Forb/Herb","Native",0,0.3,0.1,0.5
"marsh","Boehmeria cylindrica",6,"BOCY","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Eupatorium perfoliatum",6,"EUPE3","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Hypericum fraseri",6,"HYFR5","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Iris virginica",6,"IRVI","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Lysimachia terrestris",6,"LYTE2","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Nuphar advena",6,"NUAD2","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Pedicularis lanceolata",6,"PELA2","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Proserpinaca palustris",6,"PRPA3","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Saururus cernuus",6,"SACE","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Symplocarpus foetidus",6,"SYFO","Forb/Herb","Native",0,0.1,0.1,0.5
"marsh","Viola",6,"VIOLA","Forb/Herb","Unknown",0,0.1,0.1,0.5
"marsh","Thelypteris palustris",7,"THPA","Fern/fern ally","Native",1,15,0.1,0.5
"marsh","Osmunda regalis",7,"OSRE","Fern/fern ally","Native",0,0.4,0.1,0.5
"marsh","Osmundastrum cinnamomeum",7,"OSCI2","Fern/fern ally","Native",0,0.4,0.1,0.5
"marsh","Selaginella eclipes",7,"SEEC","Fern/fern ally","Native",0,0.1,0.1,0.5
"marsh","Chara",8,"2AG","Nonvascular","Native",0.1,4,0,0.1
"other meadow","Carpinus caroliniana",1,"CACA18","Tree","Native",15,15,1,5
"other meadow","Cornus obliqua",3,"COOB9","Shrub/Subshrub","Native",5,5,0.5,2
"other meadow","Cornus racemosa",3,"CORA6","Shrub/Subshrub","Native",5,5,0.5,2
"other meadow","Sambucus nigra",3,"SANI4","Shrub/Subshrub","Native",5,5,0.5,2
"other meadow","Lindera benzoin",3,"LIBE3","Shrub/Subshrub","Native",3,3,0.5,2
"other meadow","Persicaria sagittata",4,"PESA20","Vine/Liana","Native",3,3,0.1,0.5
"other meadow","Parthenocissus quinquefolia",4,"PAQU2","Vine/Liana","Native",0.5,0.5,0.1,0.5
"other meadow","Carex lacustris",5,"CALA16","Grass/grass-like (Graminoids)","Native",95,95,0.1,0.5
"other meadow","Impatiens capensis",6,"IMCA","Forb/Herb","Native",50,50,0.1,0.5
"other meadow","Rudbeckia laciniata",6,"RULA3","Forb/Herb","Native",15,15,0.1,0.5
